Active Cases,7 day rolling average
383,500.57142857142856
340,463.2857142857143
309,424.2857142857143
250,381.4285714285714
242,338.1428571428572
208,307.0
196,275.42857142857144
184,247.0
161,221.42857142857144
136,196.7142857142857
8,162.14285714285714
111,143.42857142857142
85,125.85714285714286
73,108.28571428571428
57,90.14285714285714
36,72.28571428571429
31,57.285714285714285
20,59.0
19,45.85714285714285
19,36.42857142857143
17,28.428571428571427
15,22.428571428571427
11,18.857142857142858
