date,Imported,Local - Known contact,Local - Unknown contact,Under investigation
2021-01-02,164,345,28,85
2021-01-04,164,346,34,80
2021-01-06,169,364,37,66
2021-01-07,170,374,38,59
2021-01-08,171,378,45,52
2021-01-09,172,383,50,47
2021-01-11,174,385,58,39
2021-01-22,196,,,
2021-01-27,199,,,
2021-01-29,199,398,87,7
2021-02-01,200,,,
2021-02-12,201,,,
2021-02-22,209,402,91,
2021-02-25,,,92,
2021-03-25,238,,,
2021-03-27,239,,,
2021-04-05,245,864,92,268
2021-04-07,252,,,313
2021-04-08,255,,,360
2021-04-09,260,,,451
2021-04-12,267,,94,469
2021-04-14,272,1131,95,488
2021-04-15,274,,97,496
2021-05-03,294,1430,262,436
2021-05-04,294,1437,265,431
2021-05-05,294,1458,287,390
2021-05-06,294,1465,312,361
2021-05-07,294,1481,348,311
2021-05-10,298,1427,382,244
2021-05-11,298,1533,387,237
2021-05-12,298,1552,399,212
2021-05-13,298,1559,408,197
2021-05-14,298,1579,411,178
2021-05-17,298,1632,440,107
